,compound,positive,negative,cross_asset_std,sent_crypto,sent_equities,sent_forex,sent_news,sent_social,returns,realized_vol,vix,vix_change,ciss,ciss_change,te_proxy,sent_momentum,sent_acceleration,sent_dispersion,max_divergence,garch_vol,long_run_vol,regime
2005-01-19,-0.6943738,0.0,-0.6943738,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.010463361833329743,0.0,13.18000030517578,0.0,0.0094,0.0,0.5,0.0,0.0,0.0,0.0,0.01101586565774409,0.008645789539509124,elevated
2007-06-04,-0.07724553,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.00012970675991419434,0.0,13.289999961853027,0.00834595251367709,0.0031,-0.0063,0.5,0.0,0.0,0.0,0.0,0.011161298594478291,0.008645789539509124,normal
2007-06-06,0.3090743,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.010749928536322506,0.0,14.869999885559082,0.118886375337939,0.0144,0.0113,0.5,0.0,0.0,0.0,0.0,0.010309026967956032,0.008645789539509124,normal
2007-06-21,0.6243333,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.005557716018084857,0.0,14.210000038146973,-0.04438465719512641,0.0124,-0.002,0.5,0.0,0.0,0.0,0.0,0.010631412926025065,0.008645789539509124,normal
2007-06-26,-0.3815676,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.010278880621551578,0.0,18.88999938964844,0.3293454847950694,0.0076,-0.0048,0.5,0.0,0.0,0.0,0.0,0.0099992008164767,0.008645789539509124,normal
2007-06-28,0.0065899715,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.00013336549407272358,0.0,15.539999961853027,-0.17734248470284153,0.0094,0.0018000000000000004,0.5,0.7009637715,0.0,0.0,0.0,0.010295873848103708,0.008645789539509124,normal
2007-07-05,0.3918537,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.0010508626509232455,0.0,15.479999542236328,-0.003861030872843396,0.0126,0.0031999999999999997,0.5,0.46909923000000003,0.0,0.0,0.0,0.009529178012987704,0.008645789539509124,normal
2007-07-06,-0.47829756,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.005257428750801374,0.0,14.720000267028809,-0.04909556186574182,0.0139,0.001299999999999999,0.5,-0.78737186,0.0,0.0,0.0,0.008861753790615998,0.008645789539509124,normal
2007-07-10,0.5342461,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.014239137555083548,0.0,17.56999969482422,0.1936140880499233,0.0161,0.0022000000000000006,0.5,-0.09008720000000003,0.0,0.0,0.0,0.008405890775331364,0.008645789539509124,normal
2007-07-12,-0.0032160282,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.01579003429531567,0.0,15.539999961853027,-0.11553783541437335,0.0251,0.009000000000000001,0.5,0.3783515718,0.0,0.0,0.0,0.009921254322753426,0.008645789539509124,normal
2007-07-18,-0.14600566,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.0018093762562219062,0.0,16.0,0.02960103212845322,0.0277,0.002599999999999998,0.5,-0.1525956315,-0.853559403,0.4956562361937476,0.7009637715,0.010962752538562857,0.008645789539509124,elevated
2007-07-25,-0.54353225,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.002049296544342827,0.0,18.100000381469727,0.1312500238418579,0.049,0.021300000000000003,0.5,-0.9353859500000001,-1.4044851800000002,0.33170324658238803,0.4690992300000001,0.010183972598124362,0.008645789539509124,elevated
2007-07-26,-0.38926688,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.023679476951308676,0.0,20.739999771118164,0.14585631679605893,0.067,0.018000000000000002,0.5,0.08903068000000003,0.8764025400000001,0.556755981521465,0.78737186,0.009429005959852771,0.008645789539509124,low_volatility
2007-07-27,0.47844583,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.019659257585304513,0.0,24.170000076293945,0.1653809230004084,0.0789,0.011899999999999994,0.5,-0.05580026999999993,0.034286930000000104,0.06370127001810877,0.09008720000000003,0.013219845601197726,0.008645789539509124,normal
